Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,United States,USA,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895
Population growth (annual %),SP.POP.GROW,United States,USA,1.11276899679534,0.989741382223669,0.927797485710314,0.859481712840946,0.925483968943482,0.921713167161207,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.829616674709795,0.726786704810745,0.733599941250847,0.692860276624581,0.733361519937424,0.73621730882542,0.724676067451429,0.63264399508256,0.526435395564053,0.455381285963537,0.968999515833015,0.157342694282194,0.367472693654024,0.491924871690548
Surface area (sq. km),AG.SRF.TOTL.K2,United States,USA,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United States,USA,10147902611922.7,10462311294254.3,10734743024338,11537542505578.1,12744297931435.6,13651053758978.5,14278273571359.7,14617875615086.8,14935235756547.4,14697125884560.2,15214983016009,15786542027248.9,16537791097888.9,17023065746103.9,17725038819059.4,18124085517102,18433936457653.3,19224810445224.5,20709154892243.2,21742145001993.8,21424785397695.3,23741354208063.1,25815185488309.7,26944999039556.2
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,35960,36710,37320,39770,43520,46190,47850,48530,49110,47910,49190,50670,52690,53860,55670,56510,57060,59130,63360,66220,64620,71500,77460,80450
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,United States,USA,10385197000000,10749023000000,11056572000000,11539140000000,12322009000000,13170993000000,14071835000000,14557597000000,14723881000000,14436590000000,15185160000000,15861958000000,16640301000000,17140708000000,17984237000000,18608138000000,18983368999999.9,19837150000000.1,20883382999999.9,21764838000000.1,21458070000000,23832230000000,26231750000000,27576135999999.9
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,United States,USA,36810,37720,38440,39780,42080,44570,47160,48330,48420,47060,49090,50910,53020,54230,56490,58020,58760,61010,63900,66290,64720,71770,78710,82340
Income share held by lowest 20%,SI.DST.FRST.20,United States,USA,5.6,5.5,5.4,5.3,5.4,5.4,5.3,5.3,5.3,5.5,5.4,5.3,5.3,5.4,5.3,5.4,5.3,5.3,5.3,5.2,5.7,6.1,5.2,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,..
